step 0.000000    loss_mse 0.001185    loss_niqe 8023.066223   loss_pi: 8324.685504 
step 10.000000    loss_mse 0.000028    loss_niqe 8345.711856   loss_pi: 8434.658360 
step 20.000000    loss_mse 0.000042    loss_niqe 7847.547673   loss_pi: 8180.293397 
step 30.000000    loss_mse 0.000051    loss_niqe 8282.143036   loss_pi: 8358.747608 
step 40.000000    loss_mse 0.000051    loss_niqe 8290.042312   loss_pi: 8373.721689 
step 50.000000    loss_mse 0.000054    loss_niqe 8341.477991   loss_pi: 8391.013091 
step 60.000000    loss_mse 0.000055    loss_niqe 8401.715132   loss_pi: 8405.395819 
step 70.000000    loss_mse 0.000064    loss_niqe 8401.279992   loss_pi: 8434.109780 
step 80.000000    loss_mse 0.000071    loss_niqe 8382.901279   loss_pi: 8409.492515 
step 90.000000    loss_mse 0.000079    loss_niqe 8433.026166   loss_pi: 8407.567792 
step 100.000000    loss_mse 0.000083    loss_niqe 8420.355409   loss_pi: 8395.880959 
step 110.000000    loss_mse 0.000085    loss_niqe 8425.739224   loss_pi: 8426.989360 
step 120.000000    loss_mse 0.000087    loss_niqe 8410.919789   loss_pi: 8418.741689 
step 130.000000    loss_mse 0.000090    loss_niqe 8393.105153   loss_pi: 8403.051721 
step 140.000000    loss_mse 0.000092    loss_niqe 8370.190306   loss_pi: 8402.554581 
step 150.000000    loss_mse 0.000093    loss_niqe 8315.527806   loss_pi: 8366.323783 
step 160.000000    loss_mse 0.000091    loss_niqe 8278.043645   loss_pi: 8355.034534 
step 170.000000    loss_mse 0.000093    loss_niqe 8399.213042   loss_pi: 8391.142017 
step 180.000000    loss_mse 0.000092    loss_niqe 8401.897184   loss_pi: 8388.372424 
step 190.000000    loss_mse 0.000092    loss_niqe 8401.562702   loss_pi: 8382.304839 
step 200.000000    loss_mse 0.000093    loss_niqe 8342.430800   loss_pi: 8367.287532 
step 210.000000    loss_mse 0.000097    loss_niqe 8324.924760   loss_pi: 8360.449582 
step 220.000000    loss_mse 0.000097    loss_niqe 8351.125265   loss_pi: 8381.865762 
step 230.000000    loss_mse 0.000096    loss_niqe 8348.233956   loss_pi: 8388.136173 
step 240.000000    loss_mse 0.000093    loss_niqe 8378.932386   loss_pi: 8393.187662 
step 250.000000    loss_mse 0.000095    loss_niqe 8343.298502   loss_pi: 8390.224218 
step 260.000000    loss_mse 0.000094    loss_niqe 8313.749954   loss_pi: 8380.674313 
step 270.000000    loss_mse 0.000096    loss_niqe 8317.755562   loss_pi: 8377.568082 
step 280.000000    loss_mse 0.000097    loss_niqe 8324.639081   loss_pi: 8383.329041 
step 290.000000    loss_mse 0.000097    loss_niqe 8347.703664   loss_pi: 8391.861709 
step 300.000000    loss_mse 0.000095    loss_niqe 8407.063408   loss_pi: 8421.517998 
step 310.000000    loss_mse 0.000096    loss_niqe 8436.251931   loss_pi: 8440.104353 
step 320.000000    loss_mse 0.000096    loss_niqe 8449.788096   loss_pi: 8449.305337 
step 330.000000    loss_mse 0.000096    loss_niqe 8470.094437   loss_pi: 8460.976478 
step 340.000000    loss_mse 0.000093    loss_niqe 8454.406705   loss_pi: 8450.261955 
step 350.000000    loss_mse 0.000091    loss_niqe 8426.096529   loss_pi: 8436.539203 
step 360.000000    loss_mse 0.000088    loss_niqe 8443.373150   loss_pi: 8447.239330 
step 370.000000    loss_mse 0.000086    loss_niqe 8446.608903   loss_pi: 8461.208167 
step 380.000000    loss_mse 0.000083    loss_niqe 8471.134074   loss_pi: 8464.419613 
step 390.000000    loss_mse 0.000080    loss_niqe 8451.065128   loss_pi: 8458.587721 
step 400.000000    loss_mse 0.000077    loss_niqe 8473.176820   loss_pi: 8469.024659 
step 410.000000    loss_mse 0.000075    loss_niqe 8495.213451   loss_pi: 8480.840985 
step 420.000000    loss_mse 0.000072    loss_niqe 8501.116281   loss_pi: 8488.443335 
step 430.000000    loss_mse 0.000071    loss_niqe 8517.792833   loss_pi: 8498.645841 
step 440.000000    loss_mse 0.000068    loss_niqe 8528.354894   loss_pi: 8498.983474 
step 450.000000    loss_mse 0.000065    loss_niqe 8538.983287   loss_pi: 8511.126548 
step 460.000000    loss_mse 0.000064    loss_niqe 8527.642568   loss_pi: 8501.391678 
step 470.000000    loss_mse 0.000062    loss_niqe 8553.841109   loss_pi: 8516.474392 
step 480.000000    loss_mse 0.000060    loss_niqe 8587.685218   loss_pi: 8525.006085 
step 490.000000    loss_mse 0.000058    loss_niqe 8597.341332   loss_pi: 8540.009277 
step 500.000000    loss_mse 0.000056    loss_niqe 8635.065287   loss_pi: 8560.611507 
step 510.000000    loss_mse 0.000007    loss_niqe 8603.289752   loss_pi: 8553.839743 
step 520.000000    loss_mse 0.000016    loss_niqe 8827.838736   loss_pi: 8655.663930 
step 530.000000    loss_mse 0.000017    loss_niqe 8944.221321   loss_pi: 8687.090980 
step 540.000000    loss_mse 0.000020    loss_niqe 8936.256756   loss_pi: 8690.622193 
step 550.000000    loss_mse 0.000024    loss_niqe 8923.343527   loss_pi: 8676.481557 
step 560.000000    loss_mse 0.000026    loss_niqe 8915.055652   loss_pi: 8677.434901 
step 570.000000    loss_mse 0.000028    loss_niqe 8883.333720   loss_pi: 8656.031420 
step 580.000000    loss_mse 0.000031    loss_niqe 8907.792125   loss_pi: 8669.531185 
step 590.000000    loss_mse 0.000030    loss_niqe 8908.748134   loss_pi: 8678.492128 
step 600.000000    loss_mse 0.000032    loss_niqe 8895.180453   loss_pi: 8682.692516 
step 610.000000    loss_mse 0.000034    loss_niqe 8929.458900   loss_pi: 8703.117888 
step 620.000000    loss_mse 0.000034    loss_niqe 8928.395023   loss_pi: 8700.820118 
step 630.000000    loss_mse 0.000034    loss_niqe 8911.488891   loss_pi: 8696.589274 
step 640.000000    loss_mse 0.000037    loss_niqe 8897.024169   loss_pi: 8689.173646 
step 650.000000    loss_mse 0.000035    loss_niqe 8862.433910   loss_pi: 8675.576088 
step 660.000000    loss_mse 0.000037    loss_niqe 8888.342899   loss_pi: 8683.692585 
step 670.000000    loss_mse 0.000037    loss_niqe 8874.054686   loss_pi: 8675.850837 
step 680.000000    loss_mse 0.000038    loss_niqe 8894.187607   loss_pi: 8684.131049 
step 690.000000    loss_mse 0.000038    loss_niqe 8873.969445   loss_pi: 8689.273588 
step 700.000000    loss_mse 0.000037    loss_niqe 8858.206461   loss_pi: 8682.571018 
step 710.000000    loss_mse 0.000037    loss_niqe 8854.713639   loss_pi: 8679.152001 
step 720.000000    loss_mse 0.000039    loss_niqe 8825.817099   loss_pi: 8672.661500 
step 730.000000    loss_mse 0.000041    loss_niqe 8843.410320   loss_pi: 8678.370480 
step 740.000000    loss_mse 0.000040    loss_niqe 8894.015711   loss_pi: 8690.151037 
step 750.000000    loss_mse 0.000040    loss_niqe 8866.130610   loss_pi: 8686.077969 
step 760.000000    loss_mse 0.000040    loss_niqe 8849.475999   loss_pi: 8671.909399 
step 770.000000    loss_mse 0.000041    loss_niqe 8880.514041   loss_pi: 8690.951625 
step 780.000000    loss_mse 0.000040    loss_niqe 8911.346310   loss_pi: 8702.181059 
step 790.000000    loss_mse 0.000040    loss_niqe 8894.945466   loss_pi: 8701.024454 
step 800.000000    loss_mse 0.000041    loss_niqe 8922.000695   loss_pi: 8704.925768 
step 810.000000    loss_mse 0.000042    loss_niqe 8887.488843   loss_pi: 8706.328145 
step 820.000000    loss_mse 0.000042    loss_niqe 8901.966971   loss_pi: 8704.555887 
step 830.000000    loss_mse 0.000043    loss_niqe 8891.553469   loss_pi: 8699.891824 
step 840.000000    loss_mse 0.000043    loss_niqe 8890.668485   loss_pi: 8702.194879 
step 850.000000    loss_mse 0.000044    loss_niqe 8897.936527   loss_pi: 8706.135431 
step 860.000000    loss_mse 0.000044    loss_niqe 8882.412696   loss_pi: 8699.014841 
step 870.000000    loss_mse 0.000045    loss_niqe 8906.792376   loss_pi: 8706.303427 
step 880.000000    loss_mse 0.000042    loss_niqe 8906.332803   loss_pi: 8708.484733 
step 890.000000    loss_mse 0.000044    loss_niqe 8900.301147   loss_pi: 8705.389864 
step 900.000000    loss_mse 0.000046    loss_niqe 8918.009458   loss_pi: 8706.607868 
step 910.000000    loss_mse 0.000046    loss_niqe 8889.316517   loss_pi: 8699.808971 
step 920.000000    loss_mse 0.000046    loss_niqe 8903.537100   loss_pi: 8708.033713 
step 930.000000    loss_mse 0.000044    loss_niqe 8922.496771   loss_pi: 8707.416298 
step 940.000000    loss_mse 0.000046    loss_niqe 8895.201277   loss_pi: 8700.117441 
step 950.000000    loss_mse 0.000048    loss_niqe 8912.812970   loss_pi: 8703.023790 
step 960.000000    loss_mse 0.000046    loss_niqe 8918.402456   loss_pi: 8710.737786 
step 970.000000    loss_mse 0.000046    loss_niqe 8914.055819   loss_pi: 8704.855934 
step 980.000000    loss_mse 0.000047    loss_niqe 8933.952541   loss_pi: 8711.206056 
step 990.000000    loss_mse 0.000047    loss_niqe 8919.001429   loss_pi: 8697.047363 
step 1000.000000    loss_mse 0.000047    loss_niqe 8939.478190   loss_pi: 8708.794363 
step 1010.000000    loss_mse 0.000049    loss_niqe 8941.303324   loss_pi: 8712.441233 
step 1020.000000    loss_mse 0.000048    loss_niqe 8901.063693   loss_pi: 8702.997937 
step 1030.000000    loss_mse 0.000047    loss_niqe 8920.374161   loss_pi: 8702.425108 
step 1040.000000    loss_mse 0.000048    loss_niqe 8928.821941   loss_pi: 8712.852399 
step 1050.000000    loss_mse 0.000049    loss_niqe 8919.596453   loss_pi: 8702.687011 
