step 220   psnr 21.785191   loss_mse 0.000041    loss_niqe 9044.024230   loss_pi: 8762.931287   loss_nrqm: 9588.134766   loss_clipiqa: 9952.258789   Q1: 0.999996    SX: 0.017532    SY: 0.017480    Q1_t: 1.000000    SX_t: 0.006149    SY_t: 0.006149
step 230   psnr 21.628527   loss_mse 0.000041    loss_niqe 9051.740113   loss_pi: 8772.624800   loss_nrqm: 9590.003906   loss_clipiqa: 9951.680664   Q1: 0.999994    SX: 0.017287    SY: 0.017227    Q1_t: 1.000000    SX_t: 0.006298    SY_t: 0.006298
step 240   psnr 21.774956   loss_mse 0.000042    loss_niqe 9066.842264   loss_pi: 8774.346775   loss_nrqm: 9593.584961   loss_clipiqa: 9951.339844   Q1: 0.999998    SX: 0.017426    SY: 0.017388    Q1_t: 1.000000    SX_t: 0.006486    SY_t: 0.006486
step 250   psnr 21.870062   loss_mse 0.000044    loss_niqe 9082.340779   loss_pi: 8777.915172   loss_nrqm: 9590.496094   loss_clipiqa: 9953.299805   Q1: 0.999991    SX: 0.017760    SY: 0.017686    Q1_t: 1.000000    SX_t: 0.006771    SY_t: 0.006771
step 260   psnr 22.099725   loss_mse 0.000044    loss_niqe 9075.024707   loss_pi: 8777.618498   loss_nrqm: 9591.199219   loss_clipiqa: 9950.319336   Q1: 0.999982    SX: 0.017754    SY: 0.017649    Q1_t: 1.000000    SX_t: 0.006835    SY_t: 0.006835
step 270   psnr 22.104327   loss_mse 0.000045    loss_niqe 9091.507775   loss_pi: 8785.671089   loss_nrqm: 9588.772461   loss_clipiqa: 9948.419922   Q1: 0.999973    SX: 0.017746    SY: 0.017615    Q1_t: 1.000000    SX_t: 0.006986    SY_t: 0.006986
step 280   psnr 22.161552   loss_mse 0.000047    loss_niqe 9112.607399   loss_pi: 8797.213541   loss_nrqm: 9587.169922   loss_clipiqa: 9952.561523   Q1: 0.999960    SX: 0.018234    SY: 0.018071    Q1_t: 1.000000    SX_t: 0.007179    SY_t: 0.007179
step 290   psnr 22.216049   loss_mse 0.000047    loss_niqe 9105.084588   loss_pi: 8792.015935   loss_nrqm: 9586.807617   loss_clipiqa: 9952.095703   Q1: 0.999955    SX: 0.017891    SY: 0.017722    Q1_t: 1.000000    SX_t: 0.007119    SY_t: 0.007119
step 300   psnr 22.119582   loss_mse 0.000047    loss_niqe 9111.184254   loss_pi: 8799.311248   loss_nrqm: 9586.918945   loss_clipiqa: 9949.414062   Q1: 0.999956    SX: 0.017804    SY: 0.017637    Q1_t: 1.000000    SX_t: 0.007132    SY_t: 0.007132
step 310   psnr 22.339007   loss_mse 0.000047    loss_niqe 9133.523244   loss_pi: 8807.289414   loss_nrqm: 9582.162109   loss_clipiqa: 9951.819336   Q1: 0.999943    SX: 0.017551    SY: 0.017364    Q1_t: 1.000000    SX_t: 0.006935    SY_t: 0.006935
step 320   psnr 22.482334   loss_mse 0.000047    loss_niqe 9132.102181   loss_pi: 8807.021996   loss_nrqm: 9581.205078   loss_clipiqa: 9951.056641   Q1: 0.999937    SX: 0.017174    SY: 0.016983    Q1_t: 1.000000    SX_t: 0.006915    SY_t: 0.006915
step 330   psnr 22.254661   loss_mse 0.000048    loss_niqe 9138.574205   loss_pi: 8807.304695   loss_nrqm: 9573.309570   loss_clipiqa: 9949.999023   Q1: 0.999936    SX: 0.017418    SY: 0.017222    Q1_t: 1.000000    SX_t: 0.007018    SY_t: 0.007018
step 340   psnr 22.454224   loss_mse 0.000049    loss_niqe 9136.791982   loss_pi: 8812.824883   loss_nrqm: 9568.090820   loss_clipiqa: 9951.193359   Q1: 0.999944    SX: 0.017621    SY: 0.017436    Q1_t: 1.000000    SX_t: 0.007097    SY_t: 0.007097
step 350   psnr 22.430764   loss_mse 0.000050    loss_niqe 9131.434325   loss_pi: 8812.536813   loss_nrqm: 9567.873047   loss_clipiqa: 9953.846680   Q1: 0.999940    SX: 0.017454    SY: 0.017265    Q1_t: 1.000000    SX_t: 0.007206    SY_t: 0.007206
step 360   psnr 22.574586   loss_mse 0.000050    loss_niqe 9147.534059   loss_pi: 8818.889572   loss_nrqm: 9564.188477   loss_clipiqa: 9953.079102   Q1: 0.999930    SX: 0.017437    SY: 0.017231    Q1_t: 1.000000    SX_t: 0.007213    SY_t: 0.007213
step 370   psnr 22.472527   loss_mse 0.000050    loss_niqe 9136.416539   loss_pi: 8809.470036   loss_nrqm: 9546.701172   loss_clipiqa: 9953.307617   Q1: 0.999934    SX: 0.017536    SY: 0.017336    Q1_t: 1.000000    SX_t: 0.007223    SY_t: 0.007223
step 380   psnr 22.642074   loss_mse 0.000050    loss_niqe 9138.198756   loss_pi: 8820.856431   loss_nrqm: 9544.591797   loss_clipiqa: 9951.901367   Q1: 0.999922    SX: 0.016841    SY: 0.016632    Q1_t: 1.000000    SX_t: 0.007108    SY_t: 0.007108
step 390   psnr 22.567112   loss_mse 0.000050    loss_niqe 9166.603226   loss_pi: 8834.059825   loss_nrqm: 9544.891602   loss_clipiqa: 9953.560547   Q1: 0.999945    SX: 0.016999    SY: 0.016821    Q1_t: 1.000000    SX_t: 0.007138    SY_t: 0.007138
step 400   psnr 22.679192   loss_mse 0.000049    loss_niqe 9122.494423   loss_pi: 8810.914230   loss_nrqm: 9536.740234   loss_clipiqa: 9952.499023   Q1: 0.999926    SX: 0.016639    SY: 0.016438    Q1_t: 1.000000    SX_t: 0.007034    SY_t: 0.007034
step 410   psnr 22.641649   loss_mse 0.000050    loss_niqe 9147.904380   loss_pi: 8827.304020   loss_nrqm: 9529.246094   loss_clipiqa: 9952.437500   Q1: 0.999945    SX: 0.016808    SY: 0.016632    Q1_t: 1.000000    SX_t: 0.007122    SY_t: 0.007122
step 420   psnr 22.836617   loss_mse 0.000049    loss_niqe 9130.364954   loss_pi: 8817.712621   loss_nrqm: 9522.358398   loss_clipiqa: 9949.901367   Q1: 0.999945    SX: 0.016709    SY: 0.016535    Q1_t: 1.000000    SX_t: 0.007134    SY_t: 0.007134
step 430   psnr 22.721459   loss_mse 0.000050    loss_niqe 9137.312256   loss_pi: 8824.980110   loss_nrqm: 9519.212891   loss_clipiqa: 9947.344727   Q1: 0.999943    SX: 0.016613    SY: 0.016436    Q1_t: 1.000000    SX_t: 0.007186    SY_t: 0.007186
